OrderID,OrderTransactTime,ExecutionTransactTime,Symbol,Side,OrderQty,LimitPrice,AvgPx,LastMkt
ID1542,20250910-08:00:00.377,20250910-08:00:00.509,YANG,1,27,23.7,23.170000,ID1516
ID1572,20250910-08:00:00.450,20250910-08:00:00.692,IREN,1,30,31.29,31.290000,ID1516
ID1632,20250910-08:00:00.747,20250910-08:00:00.982,DJT,2,53,16.91,16.910000,ID1516
ID1711,20250910-08:00:00.866,20250910-08:00:01.006,AMD,2,80,159.56,160.110000,ID1516
ID1732,20250910-08:00:00.920,20250910-08:00:01.042,SOFI,2,4,25.86,25.890000,ID1516
ID1770,20250910-08:00:00.983,20250910-08:00:01.156,WOLF,1,100,1.82,1.800000,ID1516
ID1815,20250910-08:00:01.147,20250910-08:00:01.264,YINN,2,100,50.2,51.540000,ID1516
ID1832,20250910-08:00:01.195,20250910-08:00:01.324,NIO,1,1,6.26,6.030000,ID1516
ID1836,20250910-08:00:01.196,20250910-08:00:01.334,NIO,1,1,6.26,6.030000,ID1516
ID1863,20250910-08:00:01.260,20250910-08:00:01.709,EVH,2,704,9.99,9.990000,ID1516
